bus_id,x,y,typ,voltage,frequency,name,operator,ref,source,n_gen,capacity,net_capacity,wkt_srid_4326,region,injection_mw
131,8.10553905313517,53.5565256492864,sub_station,,,Rüstersieler-/Kurt-Schumacher-Straße,,463 E,,,,,SRID=4326;POINT(8.10553905313517 53.5565256492864),Amprion,60.350411336476704
2528,13.2116341848095,52.5757701932049,sub_station,,,,Vattenfall,2525,,,,,SRID=4326;POINT(13.2116341848095 52.5757701932049),50Hertz,5.513220360292511
3843,11.0479650170508,49.6995460582576,sub_station,,,,,,,,,,SRID=4326;POINT(11.0479650170508 49.6995460582576),TenneT,-9.701090124395545
6003,8.76445061909099,53.2266841855798,substation,20000,50,Trafostation Hinter dem Gartel,Stadtwerke,,,,,,SRID=4326;POINT(8.76445061909099 53.2266841855798),Amprion,5.210830940197846
7935,9.20556798003176,52.414501161779,substation,,,,,,,,,,SRID=4326;POINT(9.20556798003176 52.414501161779),TenneT,-4.993373668038444
9680,10.4083626482956,53.4112420485159,substation,,,,,,,,,,SRID=4326;POINT(10.4083626482956 53.4112420485159),50Hertz,9.556669226299956
15409,8.7026453597337,51.7489921877656,substation,,,,,016017 Sportplatz Merschweg,,,,,SRID=4326;POINT(8.7026453597337 51.7489921877656),Amprion,-15.540169571421226
15704,9.99206277421466,53.7897737674627,substation,11000;400,,,Schleswig-Holstein Netz,,,,,,SRID=4326;POINT(9.99206277421466 53.7897737674627),50Hertz,61.54774331037778
16773,13.4949156070863,52.5896917767973,substation,380000;110000,50,Umspannwerk Malchow,50Hertz;Stromnetz Berlin,MOW,,,,,SRID=4326;POINT(13.4949156070863 52.5896917767973),50Hertz,6.678218319095043
16777,9.98468121228376,53.7412414837162,substation,380000;220000;110000,50,Umspannwerk Hamburg-Nord,50Hertz Transmission,,,,,,SRID=4326;POINT(9.98468121228376 53.7412414837162),50Hertz,61.47514390226643
16778,6.93481717657151,51.0334821635245,substation,220000;110000,50,UW Fühlingen,RheinEnergie,,,,,,SRID=4326;POINT(6.93481717657151 51.0334821635245),Amprion,-11.707807622107207
16780,6.96562911753218,51.0692893895334,substation,380000;220000;110000,,Station Opladen,RWE,,,,,,SRID=4326;POINT(6.96562911753218 51.0692893895334),Amprion,-12.624823230286932
16888,6.97593065958018,51.0376050168943,substation,220000;110000,,Station Dhünnaue,,,,,,,SRID=4326;POINT(6.97593065958018 51.0376050168943),Amprion,-12.340295413538087
16903,6.61430625728039,51.6186756053732,substation,220000;110000,50,,,,,,,,SRID=4326;POINT(6.61430625728039 51.6186756053732),Amprion,-16.103198720589678
16926,6.66023164565932,51.2956191989333,substation,110000,,Station Lank,RWE,,,,,,SRID=4326;POINT(6.66023164565932 51.2956191989333),Amprion,-12.341754860116541
16983,9.59430201034526,49.7983668593581,substation,220000;110000,50,Umspannwerk Trennfeld,TenneT TSO GmbH;E.ON Netz GmbH,TRE,,,,,SRID=4326;POINT(9.59430201034526 49.7983668593581),TenneT,-5.180959934335046
17025,7.07533546119909,51.5190966998987,substation,110000,50,Station Gelsenkirchen,RWE,,,,,,SRID=4326;POINT(7.07533546119909 51.5190966998987),Amprion,-19.991912188690332
17071,6.90667335507709,51.5652678379062,substation,380000;110000,50,Station Nordlicht,RWE; ELE,,,,,,SRID=4326;POINT(6.90667335507709 51.5652678379062),Amprion,-18.437774114000117
17104,6.67471906922509,51.3249491794085,substation,220000;110000,,Station Gellep,RWE,,,,,,SRID=4326;POINT(6.67471906922509 51.3249491794085),Amprion,-12.889925621278874
17105,6.65671831878072,51.3795300647971,substation,220000;110000,50,Uerdingen,RWE,,,,,,SRID=4326;POINT(6.65671831878072 51.3795300647971),Amprion,-13.50670737415436
17120,9.88747438029722,52.494488974268,substation,110000,50,Burgwedel,EON_Netz,BWED,,,,,SRID=4326;POINT(9.88747438029722 52.494488974268),TenneT,-0.7208791220225592
17128,11.0056026142412,52.195809447852,substation,110000,,Umspannwerk Helmstedt,E.ON Netz GmbH,,,,,,SRID=4326;POINT(11.0056026142412 52.195809447852),TenneT,2.520910463256717
17138,6.48813238147576,50.8810659271143,substation,380000,50,Station Hambach,RWE,,,,,,SRID=4326;POINT(6.48813238147576 50.8810659271143),Amprion,42.77217719715543
17169,9.39174688715465,48.7190549961078,substation,110000;15000,16.7,Unterwerk Plochingen,DB_Energie,,,,,,SRID=4326;POINT(9.39174688715465 48.7190549961078),TransnetBW,-6.822535608604115
17191,10.4626489600018,52.2816072635621,substation,,50,Braunschweig-West,,,,,,,SRID=4326;POINT(10.4626489600018 52.2816072635621),TenneT,1.8026930379379316
17306,9.40081810882864,48.6669725947836,substation,380000;220000;110000,,EnBW Umspannwerk Wendlingen,,,,,,,SRID=4326;POINT(9.40081810882864 48.6669725947836),TransnetBW,-6.841177228582115
17364,7.13690143578002,50.6428910425134,substation,380000;110000,50,Station Ließem,Amprion,,,,,,SRID=4326;POINT(7.13690143578002 50.6428910425134),Amprion,-10.052316883393136
17376,6.59601478983902,50.9525301186299,substation,380000;110000,50,Station Paffendorf,Amprion,,,,,,SRID=4326;POINT(6.59601478983902 50.9525301186299),Amprion,41.54236837037492
17404,10.6412605608381,48.0274331794465,substation,220000;110000,50,Umspannstation Irsingen,,,,,,,SRID=4326;POINT(10.6412605608381 48.0274331794465),TransnetBW,37.14645035892099
17430,13.0786799718301,54.284850254914,substation,220000;110000,,Umspannwerk Lüdershagen,50Hertz Transmission GmbH;E.ON edis AG,Lhg,,,,,SRID=4326;POINT(13.0786799718301 54.284850254914),50Hertz,51.920409171259344
17495,9.79733877608233,52.0008324682943,substation,220000;110000,50,Godenau,TenneT;EON_Netz,,,,,,SRID=4326;POINT(9.79733877608233 52.0008324682943),TenneT,-2.67653305152726
17549,9.27446754036973,48.5496782228246,substation,380000;220000;110000,50,EnBW Umspannwerk Metzingen,Netze BW,,,,,,SRID=4326;POINT(9.27446754036973 48.5496782228246),TransnetBW,-5.653231453991523
17558,8.93225449594203,52.1933143275816,substation,220000;110000,50,UW Veltheim,Westfalen Weser Netz GmbH,,,,,,SRID=4326;POINT(8.93225449594203 52.1933143275816),TenneT,-9.300116878370135
17590,10.4437137570229,49.6551649782877,substation,110000,50,Umspannanlage Markt Bibart,N-ERGIE,,,,,,SRID=4326;POINT(10.4437137570229 49.6551649782877),TenneT,-7.991350199959648
17597,10.972912001999,49.5585470545105,substation,380000;110000,50,Kriegenbrunn,EON_Netz,KRI,,,,,SRID=4326;POINT(10.972912001999 49.5585470545105),TenneT,-11.46518522505406
17647,12.0823055225582,49.2975904932612,substation,380000;220000;110000,50,Schwandorf,"TenneT TSO GmbH, E.ON Netz GmbH",SD,,,,,SRID=4326;POINT(12.0823055225582 49.2975904932612),50Hertz,-15.45004308897137
17654,13.4684802412319,52.632579434102,substation,110000,50,Umspannwerk Buch,Stromnetz Berlin,,,,,,SRID=4326;POINT(13.4684802412319 52.632579434102),50Hertz,6.172016115125842
17734,8.06008866646723,53.620245097212,substation,220000;155000,50,Inhausen,TenneT,INHA,,,,,SRID=4326;POINT(8.06008866646723 53.620245097212),Amprion,61.38251688408663
17767,11.8939194608678,51.4055028474632,substation,380000;110000,50,Umspannwerk Lauchstädt,50Hertz;enviaM,,,,,,SRID=4326;POINT(11.8939194608678 51.4055028474632),50Hertz,2.9418540564043116
